USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root           2  0.0  0.0      0     0 ?        S    10:43   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    10:43   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/0:0-events]
root          10  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/0:1-events]
root          11  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/0:0H-events_highpri]
root          12  0.2  0.0      0     0 ?        I    10:43   0:00 [kworker/u16:0-dm_vblank_control_workqueue]
root          13  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-mm_percpu_wq]
root          14  0.2  0.0      0     0 ?        S    10:43   0:00 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        S    10:43   0:00 [ktimers/0]
root          16  0.0  0.0      0     0 ?        S<   10:43   0:00 [pr/legacy]
root          17  0.0  0.0      0     0 ?        I    10:43   0:00 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    10:43   0:00 [rcub/0]
root          19  0.0  0.0      0     0 ?        S    10:43   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.1  0.0      0     0 ?        S    10:43   0:00 [rcuc/0]
root          21  0.0  0.0      0     0 ?        S    10:43   0:00 [rcu_exp_gp_kthread_worker]
root          22  0.0  0.0      0     0 ?        S    10:43   0:00 [migration/0]
root          23  0.0  0.0      0     0 ?        S    10:43   0:00 [irq_work/0]
root          24  0.0  0.0      0     0 ?        S    10:43   0:00 [idle_inject/0]
root          25  0.0  0.0      0     0 ?        S    10:43   0:00 [cpuhp/0]
root          26  0.0  0.0      0     0 ?        S    10:43   0:00 [cpuhp/1]
root          27  0.0  0.0      0     0 ?        S    10:43   0:00 [idle_inject/1]
root          28  0.0  0.0      0     0 ?        S    10:43   0:00 [irq_work/1]
root          29  0.1  0.0      0     0 ?        S    10:43   0:00 [migration/1]
root          30  0.1  0.0      0     0 ?        S    10:43   0:00 [rcuc/1]
root          31  0.1  0.0      0     0 ?        S    10:43   0:00 [ktimers/1]
root          32  0.0  0.0      0     0 ?        S    10:43   0:00 [ksoftirqd/1]
root          33  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:0-events]
root          34  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/1:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    10:43   0:00 [cpuhp/2]
root          36  0.0  0.0      0     0 ?        S    10:43   0:00 [idle_inject/2]
root          37  0.0  0.0      0     0 ?        S    10:43   0:00 [irq_work/2]
root          38  0.1  0.0      0     0 ?        S    10:43   0:00 [migration/2]
root          39  0.1  0.0      0     0 ?        S    10:43   0:00 [rcuc/2]
root          40  0.1  0.0      0     0 ?        S    10:43   0:00 [ktimers/2]
root          41  0.0  0.0      0     0 ?        S    10:43   0:00 [ksoftirqd/2]
root          42  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/2:0-events]
root          43  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/2:0H-events_highpri]
root          44  0.0  0.0      0     0 ?        S    10:43   0:00 [cpuhp/3]
root          45  0.0  0.0      0     0 ?        S    10:43   0:00 [idle_inject/3]
root          46  0.0  0.0      0     0 ?        S    10:43   0:00 [irq_work/3]
root          47  0.1  0.0      0     0 ?        S    10:43   0:00 [migration/3]
root          48  0.1  0.0      0     0 ?        S    10:43   0:00 [rcuc/3]
root          49  0.1  0.0      0     0 ?        S    10:43   0:00 [ktimers/3]
root          50  0.0  0.0      0     0 ?        S    10:43   0:00 [ksoftirqd/3]
root          51  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:0-events]
root          52  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/3:0H-events_highpri]
root          53  0.5  0.0      0     0 ?        I    10:43   0:00 [kworker/u17:0-flush-259:0]
root          54  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:0-async]
root          56  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:1-async]
root          57  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:2-events_unbound]
root          58  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u18:3-async]
root          59  0.0  0.0      0     0 ?        S    10:43   0:00 [kdevtmpfs]
root          60  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-inet_frag_wq]
root          61  0.0  0.0      0     0 ?        I    10:43   0:00 [rcu_tasks_kthread]
root          62  0.0  0.0      0     0 ?        I    10:43   0:00 [rcu_tasks_rude_kthread]
root          63  0.0  0.0      0     0 ?        I    10:43   0:00 [rcu_tasks_trace_kthread]
root          64  0.0  0.0      0     0 ?        S    10:43   0:00 [kauditd]
root          65  0.0  0.0      0     0 ?        S    10:43   0:00 [khungtaskd]
root          66  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u17:1-flush-259:0]
root          67  0.0  0.0      0     0 ?        S    10:43   0:00 [oom_reaper]
root          68  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-writeback]
root          69  0.0  0.0      0     0 ?        S    10:43   0:00 [kcompactd0]
root          70  0.0  0.0      0     0 ?        SN   10:43   0:00 [ksmd]
root          71  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-kblockd]
root          72  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-blkcg_punt_bio]
root          73  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-kintegrityd]
root          74  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u17:2-flush-259:0]
root          75  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/9-acpi]
root          76  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/2:1-events]
root          77  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-tpm_dev_wq]
root          78  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-edac-poller]
root          79  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-devfreq_wq]
root          80  0.0  0.0      0     0 ?        S    10:43   0:00 [backlog_napi/0]
root          81  0.0  0.0      0     0 ?        S    10:43   0:00 [backlog_napi/1]
root          82  0.0  0.0      0     0 ?        S    10:43   0:00 [backlog_napi/2]
root          83  0.0  0.0      0     0 ?        S    10:43   0:00 [backlog_napi/3]
root          84  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-quota_events_unbound]
root          85  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/1:1H-kblockd]
root          86  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/0:1H-kblockd]
root          87  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:1-events]
root          88  0.0  0.0      0     0 ?        S    10:43   0:00 [kswapd0]
root          89  0.0  0.0      0     0 ?        I    10:43   0:00 [kdamond.0]
root          91  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/3:1H-kblockd]
root          93  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-kthrotld]
root          94  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u19:0]
root          95  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/7-pinctrl_amd]
root          96  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/25-PCIe PME]
root          97  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/25-aerdrv]
root          98  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/25-s-aerdrv]
root          99  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/25-PCIe bwctrl]
root         100  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/26-PCIe PME]
root         101  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/26-aerdrv]
root         102  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/26-s-aerdrv]
root         103  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/26-PCIe bwctrl]
root         104  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/27-PCIe PME]
root         105  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/27-aerdrv]
root         106  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/27-s-aerdrv]
root         107  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/27-PCIe bwctrl]
root         108  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-PCIe PME]
root         109  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-aerdrv]
root         110  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-s-aerdrv]
root         111  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-PCIe bwctrl]
root         112  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-PCIe PME]
root         113  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-aerdrv]
root         114  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-s-aerdrv]
root         115  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-PCIe bwctrl]
